Forecaster,Party,Seats,Actual seats,Difference
Savanta (MRP),Green,0,4,4
Savanta (MRP),Reform,0,5,5
Savanta (MRP),Others,0,23,23
Ipsos (MRP),Con,115,121,6
Ipsos (MRP),Lab,453,412,41
Ipsos (MRP),SNP,15,9,6
Ipsos (MRP),Lib Dems,38,72,34
Ipsos (MRP),Plaid Cymru,4,4,0
Ipsos (MRP),Green,3,4,1
Ipsos (MRP),Reform,3,5,2
Ipsos (MRP),Others,0,23,23
Find Out Now/Electoral Calculus (MRP – with tactical voting),Con,66,121,55
Find Out Now/Electoral Calculus (MRP – with tactical voting),Lab,476,412,64
Find Out Now/Electoral Calculus (MRP – with tactical voting),SNP,26,9,17
Find Out Now/Electoral Calculus (MRP – with tactical voting),Lib Dems,59,72,13
Find Out Now/Electoral Calculus (MRP – with tactical voting),Plaid Cymru,3,4,1
Find Out Now/Electoral Calculus (MRP – with tactical voting),Green,2,4,2
Find Out Now/Electoral Calculus (MRP – with tactical voting),Reform,0,5,5
Find Out Now/Electoral Calculus (MRP – with tactical voting),Others,0,23,23
Find Out Now/Electoral Calculus (MRP – without tactical voting),Con,72,121,49
Find Out Now/Electoral Calculus (MRP – without tactical voting),Lab,493,412,81
Find Out Now/Electoral Calculus (MRP – without tactical voting),SNP,22,9,13
Find Out Now/Electoral Calculus (MRP – without tactical voting),Lib Dems,39,72,33
Find Out Now/Electoral Calculus (MRP – without tactical voting),Plaid Cymru,4,4,0
Find Out Now/Electoral Calculus (MRP – without tactical voting),Green,2,4,2
Find Out Now/Electoral Calculus (MRP – without tactical voting),Reform,0,5,5
Find Out Now/Electoral Calculus (MRP – without tactical voting),Others,0,23,23
New Statesman,Con,114,121,7
New Statesman,Green,4,4,0
New Statesman,Lab,418,412,6
New Statesman,Lib Dems,65,72,7
New Statesman,Others,1,23,22
New Statesman,Plaid Cymru,3,4,1
New Statesman,Reform,6,5,1
New Statesman,SNP,23,9,14
Average of recent forecasts,Con,89.36842105263158,121,31.631578947368425
Average of recent forecasts,Green,2.2857142857142856,4,1.7142857142857144
Average of recent forecasts,Lab,454.94736842105266,412,42.94736842105266
Average of recent forecasts,Lib Dems,57.833333333333336,72,14.166666666666664
Average of recent forecasts,Others,5.933333333333334,23,17.066666666666666
Average of recent forecasts,Plaid Cymru,3,4,1
Average of recent forecasts,Reform,4.388888888888889,5,0.6111111111111107
Average of recent forecasts,SNP,18.333333333333332,9,9.333333333333332
Exit poll,Con,131,121,10
Exit poll,Lab,410,412,2
Exit poll,Lib Dems,61,72,11
Exit poll,Reform,13,5,8
Exit poll,SNP,10,9,1
Exit poll,Green,2,4,2
Exit poll,Plaid Cymru,4,4,0
